word,translation,language,category,subcategory,part_of_speech,curriculum_level,example_sentence,example_translation,gender,article,base_word,,
amusante,"fun (female, for objects/activities)",FR,basics_core_language,object_descriptions,adjective,KS3,L'activité est amusante.,The activity is fun.,f,,amusante,,
génial,great (m/f),FR,basics_core_language,object_descriptions,adjective,KS3,Cette idée est géniale !,That idea is great!,,,génial,,
intéressant,interesting (male),FR,basics_core_language,object_descriptions,adjective,KS3,Le musée est intéressant.,The museum is interesting.,m,,intéressant,,
intéressante,interesting (female),FR,basics_core_language,object_descriptions,adjective,KS3,L'histoire est intéressante.,The story is interesting.,f,,intéressante,,
terrible,terrible (m/f),FR,basics_core_language,object_descriptions,adjective,KS3,Le temps est terrible.,The weather is terrible.,,,terrible,,
neu,new,DE,basics_core_language,object_descriptions,adjective,KS3,Es ist ein neues Auto.,It's a new car.,,,neu,,
alt,old,DE,basics_core_language,object_descriptions,adjective,KS3,Ich habe ein altes Buch.,I have an old book.,,,alt,,
groß,big,DE,basics_core_language,object_descriptions,adjective,KS3,Mein Hund ist groß.,My dog is big.,,,groß,,
klein,small,DE,basics_core_language,object_descriptions,adjective,KS3,Es ist ein kleines Telefon.,It's a small phone.,,,klein,,
schwer,heavy,DE,basics_core_language,object_descriptions,adjective,KS3,Die Kiste ist schwer.,The box is heavy.,,,schwer,,
leicht,light,DE,basics_core_language,object_descriptions,adjective,KS3,Der Stift ist leicht.,The pen is light.,,,leicht,,
sauber,clean,DE,basics_core_language,object_descriptions,adjective,KS3,Mein Zimmer ist sauber.,My room is clean.,,,sauber,,
schmutzig,dirty,DE,basics_core_language,object_descriptions,adjective,KS3,Der Teller ist schmutzig.,The plate is dirty.,,,schmutzig,,
schnell,fast,DE,basics_core_language,object_descriptions,adjective,KS3,Das Auto ist schnell.,The car is fast.,,,schnell,,
langsam,slow,DE,basics_core_language,object_descriptions,adjective,KS3,Der Zug ist langsam.,The train is slow.,,,langsam,,
einfach,easy,DE,basics_core_language,object_descriptions,adjective,KS3,Die Prüfung ist einfach.,The exam is easy.,,,einfach,,
schwierig,difficult,DE,basics_core_language,object_descriptions,adjective,KS3,Die Hausaufgaben sind schwierig.,The homework is difficult.,,,schwierig,,
langweilig,boring,DE,basics_core_language,object_descriptions,adjective,KS3,Das Buch ist langweilig.,The book is boring.,,,langweilig,,
lustig,fun,DE,basics_core_language,object_descriptions,adjective,KS3,Das Spiel ist lustig.,The game is fun.,,,lustig,,
genial,great,DE,basics_core_language,object_descriptions,adjective,KS3,Diese Idee ist genial!,That idea is great!,,,genial,,
interessant,interesting,DE,basics_core_language,object_descriptions,adjective,KS3,Das Museum ist interessant.,The museum is interesting.,,,interessant,,
schrecklich,terrible,DE,basics_core_language,object_descriptions,adjective,KS3,Das Wetter ist schrecklich.,The weather is terrible.,,,schrecklich,,
¿Qué?,What?,ES,basics_core_language,question_words,interrogative pronoun,KS3,¿Qué es esto?,What is this?,,,¿Qué?,,
¿Quién?,Who? (singular),ES,basics_core_language,question_words,interrogative pronoun,KS3,¿Quién es él?,Who is he?,,,¿Quién?,,
¿Quiénes?,Who? (plural),ES,basics_core_language,question_words,interrogative pronoun,KS3,¿Quiénes son ellos?,Who are they?,,,¿Quiénes?,,
¿Dónde?,Where?,ES,basics_core_language,question_words,adverb,KS3,¿Dónde vives?,Where do you live?,,,¿Dónde?,,
¿Cuándo?,When?,ES,basics_core_language,question_words,adverb,KS3,¿Cuándo es tu cumpleaños?,When is your birthday?,,,¿Cuándo?,,
¿Por qué?,Why?,ES,basics_core_language,question_words,adverb,KS3,¿Por qué estás triste?,Why are you sad?,,,¿Por qué?,,
¿Cómo?,How?,ES,basics_core_language,question_words,adverb,KS3,¿Cómo estás?,How are you?,,,¿Cómo?,,
¿Cuánto?,How much? (male singular),ES,basics_core_language,question_words,interrogative adjective,KS3,¿Cuánto dinero tienes?,How much money do you have?,m,,¿Cuánto?,,
¿Cuánta?,How much? (female singular),ES,basics_core_language,question_words,interrogative adjective,KS3,¿Cuánta agua necesitas?,How much water do you need?,f,,¿Cuánta?,,
¿Cuántos?,How many? (male plural),ES,basics_core_language,question_words,interrogative adjective,KS3,¿Cuántos años tienes?,How old are you?,m,,¿Cuántos?,,
¿Cuántas?,How many? (female plural),ES,basics_core_language,question_words,interrogative adjective,KS3,¿Cuántas hermanas tienes?,How many sisters do you have?,f,,¿Cuántas?,,
¿Cuál?,Which? (singular),ES,basics_core_language,question_words,interrogative pronoun,KS3,¿Cuál es tu favorito?,Which is your favorite?,,,¿Cuál?,,
¿Cuáles?,Which? (plural),ES,basics_core_language,question_words,interrogative pronoun,KS3,¿Cuáles prefieres?,Which ones do you prefer?,,,¿Cuáles?,,
Qu'est-ce que?,What?,FR,basics_core_language,question_words,interrogative pronoun,KS3,Qu'est-ce que c'est?,What is this?,,,Qu'est-ce que?,,
Qui?,Who?,FR,basics_core_language,question_words,interrogative pronoun,KS3,Qui est-ce?,Who is this?,,,Qui?,,
Où?,Where?,FR,basics_core_language,question_words,adverb,KS3,Où habites-tu?,Where do you live?,,,Où?,,
Quand?,When?,FR,basics_core_language,question_words,adverb,KS3,Quand est ton anniversaire?,When is your birthday?,,,Quand?,,
Pourquoi?,Why?,FR,basics_core_language,question_words,adverb,KS3,Pourquoi es-tu triste?,Why are you sad?,,,Pourquoi?,,
Comment?,How?,FR,basics_core_language,question_words,adverb,KS3,Comment vas-tu?,How are you?,,,Comment?,,
Combien?,How much/many?,FR,basics_core_language,question_words,adverb,KS3,Combien de livres?,How many books?,,,Combien?,,
Quel?,Which? / What? (male singular),FR,basics_core_language,question_words,interrogative adjective,KS3,Quel livre?,Which book?,m,,Quel?,,
Quelle?,Which? / What? (female singular),FR,basics_core_language,question_words,interrogative adjective,KS3,Quelle couleur?,Which colour?,f,,Quelle?,,
Quels?,Which? / What? (male plural),FR,basics_core_language,question_words,interrogative adjective,KS3,Quels sports?,Which sports?,m,,Quels?,,
Quelles?,Which? / What? (female plural),FR,basics_core_language,question_words,interrogative adjective,KS3,Quelles filles?,Which girls?,f,,Quelles?,,
Was?,What?,DE,basics_core_language,question_words,interrogative pronoun,KS3,Was ist das?,What is this?,,,Was?,,
Wer?,Who?,DE,basics_core_language,question_words,interrogative pronoun,KS3,Wer ist er?,Who is he?,,,Wer?,,
Wo?,Where?,DE,basics_core_language,question_words,adverb,KS3,Wo wohnst du?,Where do you live?,,,Wo?,,
Wann?,When?,DE,basics_core_language,question_words,adverb,KS3,Wann ist dein Geburtstag?,When is your birthday?,,,Wann?,,
Warum?,Why?,DE,basics_core_language,question_words,adverb,KS3,Warum bist du traurig?,Why are you sad?,,,Warum?,,
Wie?,How?,DE,basics_core_language,question_words,adverb,KS3,Wie geht es dir?,How are you?,,,Wie?,,
Wie viel?,How much?,DE,basics_core_language,question_words,interrogative adjective,KS3,Wie viel Geld?,How much money?,,,Wie viel?,,
Wie viele?,How many?,DE,basics_core_language,question_words,interrogative adjective,KS3,Wie viele Bücher?,How many books?,,,Wie viele?,,
Welcher?,Which? (male singular),DE,basics_core_language,question_words,interrogative adjective,KS3,Welcher Junge?,Which boy?,m,,Welcher?,,
Welche?,Which? (female singular/plural),DE,basics_core_language,question_words,interrogative adjective,KS3,Welche Farbe? Welche Bücher?,Which colour? Which books?,f,,Welche?,,
Welches?,Which? (neutral singular),DE,basics_core_language,question_words,interrogative adjective,KS3,Welches Buch?,Which book?,n,,Welches?,,
yo,I,ES,basics_core_language,pronouns,subject pronoun,KS3,Yo soy estudiante.,I am a student.,,,yo,,
tú,you (informal singular),ES,basics_core_language,pronouns,subject pronoun,KS3,Tú eres mi amigo.,You are my friend.,,,tú,,
él,he,ES,basics_core_language,pronouns,subject pronoun,KS3,Él es alto.,He is tall.,m,,él,,
ella,she,ES,basics_core_language,pronouns,subject pronoun,KS3,Ella es simpática.,She is nice.,f,,ella,,
usted,you (formal singular),ES,basics_core_language,pronouns,subject pronoun,KS3,¿Cómo está usted?,How are you? (formal),,,usted,,
nosotros,we (male/mixed),ES,basics_core_language,pronouns,subject pronoun,KS3,Nosotros jugamos al fútbol.,We play football.,m,,nosotros,,
nosotras,we (female),ES,basics_core_language,pronouns,subject pronoun,KS3,Nosotras leemos un libro.,We read a book.,f,,nosotras,,
vosotros,"you (informal plural, male/mixed, Spain)",ES,basics_core_language,pronouns,subject pronoun,KS3,Vosotros sois de España.,You are from Spain.,m,,vosotros,,
vosotras,"you (informal plural, female, Spain)",ES,basics_core_language,pronouns,subject pronoun,KS3,Vosotras vais a la escuela.,You go to school.,f,,vosotras,,
ellos,they (male/mixed),ES,basics_core_language,pronouns,subject pronoun,KS3,Ellos comen pizza.,They eat pizza.,m,,ellos,,
ellas,they (female),ES,basics_core_language,pronouns,subject pronoun,KS3,Ellas hablan francés.,They speak FR.,f,,ellas,,
ustedes,"you (formal plural, or general plural Latin America)",ES,basics_core_language,pronouns,subject pronoun,KS3,Ustedes tienen un coche nuevo.,You have a new car.,,,ustedes,,
mi,my (singular),ES,basics_core_language,pronouns,possessive adjective,KS3,Mi libro es rojo.,My book is red.,,,mi,,
mis,my (plural),ES,basics_core_language,pronouns,possessive adjective,KS3,Mis amigos son divertidos.,My friends are fun.,,,mis,,
tu,"your (informal singular, singular noun)",ES,basics_core_language,pronouns,possessive adjective,KS3,Tu casa es grande.,Your house is big.,,,tu,,
tus,"your (informal singular, plural noun)",ES,basics_core_language,pronouns,possessive adjective,KS3,Tus padres son amables.,Your parents are kind.,,,tus,,
su,"his/her/its/your (formal singular/plural, singular noun)",ES,basics_core_language,pronouns,possessive adjective,KS3,Su perro es pequeño.,His/Her dog is small.,,,su,,
sus,"his/her/its/your (formal singular/plural, plural noun)",ES,basics_core_language,pronouns,possessive adjective,KS3,Sus ojos son azules.,His/Her eyes are blue.,,,sus,,
me,me (object pronoun),ES,basics_core_language,pronouns,object pronoun,KS3,Me gusta el chocolate.,I like chocolate (chocolate pleases me).,,,me,,
te,"you (informal singular, object pronoun)",ES,basics_core_language,pronouns,object pronoun,KS3,Te veo mañana.,I see you tomorrow.,,,te,,
le,"him/her/you (formal singular, indirect object pronoun)",ES,basics_core_language,pronouns,indirect object pronoun,KS3,Le doy un regalo.,I give him/her a gift.,,,le,,
lo,"him/it (male, direct object pronoun)",ES,basics_core_language,pronouns,direct object pronoun,KS3,Lo tengo.,I have it.,m,,lo,,
la,"her/it (female, direct object pronoun)",ES,basics_core_language,pronouns,direct object pronoun,KS3,La veo.,I see her.,f,,la,,
les,"them/you (formal plural, indirect object pronoun)",ES,basics_core_language,pronouns,indirect object pronoun,KS3,Les hablo.,I speak to them.,,,les,,
los,"them (male/mixed, direct object pronoun)",ES,basics_core_language,pronouns,direct object pronoun,KS3,Los veo.,I see them.,m,,los,,
las,"them (female, direct object pronoun)",ES,basics_core_language,pronouns,direct object pronoun,KS3,Las quiero.,I want them.,f,,las,,
je,I,FR,basics_core_language,pronouns,subject pronoun,KS3,Je suis étudiant.,I am a student.,,,je,,
tu,you (informal singular),FR,basics_core_language,pronouns,subject pronoun,KS3,Tu es mon ami.,You are my friend.,,,tu,,
il,he/it (male),FR,basics_core_language,pronouns,subject pronoun,KS3,Il est grand.,He is tall.,m,,il,,
elle,she/it (female),FR,basics_core_language,pronouns,subject pronoun,KS3,Elle est sympa.,She is nice.,f,,elle,,
nous,we,FR,basics_core_language,pronouns,subject pronoun,KS3,Nous jouons au foot.,We play football.,,,nous,,
vous,"you (formal singular/plural, or informal plural)",FR,basics_core_language,pronouns,subject pronoun,KS3,Comment allez-vous?,How are you? (formal/plural),,,vous,,
ils,they (male/mixed),FR,basics_core_language,pronouns,subject pronoun,KS3,Ils mangent de la pizza.,They eat pizza.,m,,ils,,
elles,they (female),FR,basics_core_language,pronouns,subject pronoun,KS3,Elles parlent français.,They speak FR.,f,,elles,,
mon,my (male singular),FR,basics_core_language,pronouns,possessive adjective,KS3,Mon livre est rouge.,My book is red.,m,mon,mon,,
ma,my (female singular),FR,basics_core_language,pronouns,possessive adjective,KS3,Ma maison est grande.,My house is big.,f,ma,ma,,
mes,my (plural),FR,basics_core_language,pronouns,possessive adjective,KS3,Mes amis sont drôles.,My friends are funny.,,,mes,,
ton,"your (informal singular, male singular)",FR,basics_core_language,pronouns,possessive adjective,KS3,Ton stylo est neuf.,Your pen is new.,m,ton,ton,,
ta,"your (informal singular, female singular)",FR,basics_core_language,pronouns,possessive adjective,KS3,Ta voiture est rapide.,Your car is fast.,f,ta,ta,,
tes,"your (informal singular, plural)",FR,basics_core_language,pronouns,possessive adjective,KS3,Tes chaussures sont propres.,Your shoes are clean.,,,tes,,
son,his/her/its (male singular),FR,basics_core_language,pronouns,possessive adjective,KS3,Son chat est noir.,His/Her cat is black.,m,son,son,,
sa,his/her/its (female singular),FR,basics_core_language,pronouns,possessive adjective,KS3,Sa sœur est petite.,His/Her sister is small.,f,sa,sa,,
ses,his/her/its (plural),FR,basics_core_language,pronouns,possessive adjective,KS3,Ses parents sont là.,His/Her parents are here.,,,ses,,
me,me (object pronoun),FR,basics_core_language,pronouns,object pronoun,KS3,Il me voit.,He sees me.,,,me,,
te,"you (informal singular, object pronoun)",FR,basics_core_language,pronouns,object pronoun,KS3,Je te parle.,I speak to you.,,,te,,
le,"him/it (male, direct object pronoun)",FR,basics_core_language,pronouns,direct object pronoun,KS3,Je le vois.,I see him/it.,m,le,le,,
la,"her/it (female, direct object pronoun)",FR,basics_core_language,pronouns,direct object pronoun,KS3,Je la vois.,I see her/it.,f,la,la,,
lui,to him/to her (indirect object pronoun),FR,basics_core_language,pronouns,indirect object pronoun,KS3,Je lui donne le livre.,I give him/her the book.,,,lui,,
nous,us (object pronoun),FR,basics_core_language,pronouns,object pronoun,KS3,Il nous aide.,He helps us.,,,nous,,
vous,"you (formal singular/plural, object pronoun)",FR,basics_core_language,pronouns,object pronoun,KS3,Je vous invite.,I invite you.,,,vous,,
les,them (direct object pronoun),FR,basics_core_language,pronouns,direct object pronoun,KS3,Je les aime.,I like them.,,,les,,
leur,to them (indirect object pronoun),FR,basics_core_language,pronouns,indirect object pronoun,KS3,Je leur parle.,I speak to them.,,,leur,,
ich,I,DE,basics_core_language,pronouns,subject pronoun,KS3,Ich bin Student.,I am a student.,,,ich,,
du,you (informal singular),DE,basics_core_language,pronouns,subject pronoun,KS3,Du bist mein Freund.,You are my friend.,,,du,,
er,he,DE,basics_core_language,pronouns,subject pronoun,KS3,Er ist groß.,He is tall.,m,,er,,
sie,she / they / formal you,DE,basics_core_core_language,pronouns,subject pronoun,KS3,Sie ist nett. Sie sind nett.,She is nice. They are nice. / You (formal) are nice.,f,,sie,,
es,it (neutral),DE,basics_core_language,pronouns,subject pronoun,KS3,Es ist kalt.,It is cold.,n,,es,,
wir,we,DE,basics_core_language,pronouns,subject pronoun,KS3,Wir spielen Fußball.,We play football.,,,wir,,
ihr,you (informal plural),DE,basics_core_language,pronouns,subject pronoun,KS3,Ihr seid in der Schule.,You are at school.,,,ihr,,
mein,my (male/neutral singular),DE,basics_core_language,pronouns,possessive adjective,KS3,Mein Buch ist rot.,My book is red.,m,,mein,,
meine,my (female/plural),DE,basics_core_language,pronouns,possessive adjective,KS3,Meine Katze ist schwarz.,My cat is black.,f,,meine,,
dein,"your (informal singular, male/neutral singular)",DE,basics_core_language,pronouns,possessive adjective,KS3,Dein Stift ist neu.,Your pen is new.,m,,dein,,
deine,"your (informal singular, female/plural)",DE,basics_core_language,pronouns,possessive adjective,KS3,Deine Freunde sind lustig.,Your friends are funny.,f,,deine,,
sein,his/its (male/neutral singular),DE,basics_core_language,pronouns,possessive adjective,KS3,Sein Hund ist klein.,His dog is small.,m,,sein,,
seine,his/its (female/plural),DE,basics_core_language,pronouns,possessive adjective,KS3,Seine Eltern sind hier.,His parents are here.,f,,seine,,
ihr,her/their/your (formal) (male/neutral singular),DE,basics_core_language,pronouns,possessive adjective,KS3,Ihr Haus ist groß.,Her house is big. / Their house is big. / Your (formal) house is big.,f,,ihr,,
ihre,her/their/your (formal) (female/plural),DE,basics_core_language,pronouns,possessive adjective,KS3,Ihre Schwester ist nett.,Her sister is nice. / Their sister is nice. / Your (formal) sister is nice.,f,,ihre,,
mich,me (accusative),DE,basics_core_language,pronouns,object pronoun,KS3,Er sieht mich.,He sees me.,,,mich,,
dich,"you (informal singular, accusative)",DE,basics_core_language,pronouns,object pronoun,KS3,Ich sehe dich.,I see you.,,,dich,,
ihn,him (accusative),DE,basics_core_language,pronouns,object pronoun,KS3,Ich kenne ihn.,I know him.,m,,ihn,,
sie,her/them/formal you (accusative),DE,basics_core_language,pronouns,object pronoun,KS3,Ich sehe sie.,I see her/them. / I see you (formal).,f,,sie,,
es,"it (neutral, accusative)",DE,basics_core_language,pronouns,object pronoun,KS3,Ich habe es.,I have it.,n,,es,,
uns,us (accusative/dative),DE,basics_core_language,pronouns,object pronoun,KS3,Er hilft uns.,He helps us.,,,uns,,
euch,"you (informal plural, accusative/dative)",DE,basics_core_language,pronouns,object pronoun,KS3,Ich lade euch ein.,I invite you (plural).,,,euch,,
ihnen,to them/to formal you (dative),DE,basics_core_language,pronouns,indirect object pronoun,KS3,Ich spreche mit ihnen.,I speak to them.,,,ihnen,,
siempre,always,ES,basics_core_language,common_adverbs,adverb of frequency,KS3,Siempre leo libros.,I always read books.,,,siempre,,
a menudo,often,ES,basics_core_language,common_adverbs,adverb of frequency,KS3,A menudo voy al cine.,I often go to the cinema.,,,a menudo,,
a veces,sometimes,ES,basics_core_language,common_adverbs,adverb of frequency,KS3,A veces juego al tenis.,Sometimes I play tennis.,,,a veces,,
casi nunca,almost never,ES,basics_core_language,common_adverbs,adverb of frequency,KS3,Casi nunca como carne.,I almost never eat meat.,,,casi nunca,,
nunca,never,ES,basics_core_language,common_adverbs,adverb of frequency,KS3,Nunca bebo café.,I never drink coffee.,,,nunca,,
bien,well,ES,basics_core_language,common_adverbs,adverb of manner,KS3,Canto bien.,I sing well.,,,bien,,
mal,badly,ES,basics_core_language,common_adverbs,adverb of manner,KS3,Bailo mal.,I dance badly.,,,mal,,
muy,very,ES,basics_core_language,common_adverbs,adverb of intensity,KS3,Es muy bonito.,It's very beautiful.,,,muy,,
poco,little / a little,ES,basics_core_language,common_adverbs,adverb of quantity,KS3,Hablo poco español.,I speak little ES.,,,poco,,
mucho,much / a lot,ES,basics_core_language,common_adverbs,adverb of quantity,KS3,Estudio mucho.,I study a lot.,,,mucho,,
ahora,now,ES,basics_core_language,common_adverbs,adverb of time,KS3,Lo hago ahora.,I'll do it now.,,,ahora,,
luego,later,ES,basics_core_language,common_adverbs,adverb of time,KS3,Nos vemos luego.,See you later.,,,luego,,
aquí,here,ES,basics_core_language,common_adverbs,adverb of place,KS3,Estoy aquí.,I am here.,,,aquí,,
allí,there,ES,basics_core_language,common_adverbs,adverb of place,KS3,Ponlo allí.,Put it there.,,,allí,,
toujours,always,FR,basics_core_language,common_adverbs,adverb of frequency,KS3,Je lis toujours des livres.,I always read books.,,,toujours,,
souvent,often,FR,basics_core_language,common_adverbs,adverb of frequency,KS3,Je vais souvent au cinéma.,I often go to the cinema.,,,souvent,,
parfois,sometimes,FR,basics_core_language,common_adverbs,adverb of frequency,KS3,Parfois je joue au tennis.,Sometimes I play tennis.,,,parfois,,
presque jamais,almost never,FR,basics_core_language,common_adverbs,adverb of frequency,KS3,Je mange presque jamais de viande.,I almost never eat meat.,,,presque jamais,,
jamais,never,FR,basics_core_language,common_adverbs,adverb of frequency,KS3,Je ne bois jamais de café.,I never drink coffee.,,,jamais,,
bien,well,FR,basics_core_language,common_adverbs,adverb of manner,KS3,Je chante bien.,I sing well.,,,bien,,
mal,badly,FR,basics_core_language,common_adverbs,adverb of manner,KS3,Je danse mal.,I dance badly.,,,mal,,
très,very,FR,basics_core_language,common_adverbs,adverb of intensity,KS3,C'est très beau.,It's very beautiful.,,,très,,
peu,little / a little,FR,basics_core_language,common_adverbs,adverb of quantity,KS3,Je parle peu français.,I speak little FR.,,,peu,,
beaucoup,much / a lot,FR,basics_core_language,common_adverbs,adverb of quantity,KS3,J'étudie beaucoup.,I study a lot.,,,beaucoup,,
maintenant,now,FR,basics_core_language,common_adverbs,adverb of time,KS3,Je le fais maintenant.,I'll do it now.,,,maintenant,,
plus tard,later,FR,basics_core_language,common_adverbs,adverb of time,KS3,On se voit plus tard.,See you later.,,,plus tard,,
ici,here,FR,basics_core_language,common_adverbs,adverb of place,KS3,Je suis ici.,I am here.,,,ici,,
là-bas,there,FR,basics_core_language,common_adverbs,adverb of place,KS3,Mets-le là-bas.,Put it there.,,,là-bas,,
immer,always,DE,basics_core_language,common_adverbs,adverb of frequency,KS3,Ich lese immer Bücher.,I always read books.,,,immer,,
oft,often,DE,basics_core_language,common_adverbs,adverb of frequency,KS3,Ich gehe oft ins Kino.,I often go to the cinema.,,,oft,,
manchmal,sometimes,DE,basics_core_language,common_adverbs,adverb of frequency,KS3,Manchmal spiele ich Tennis.,Sometimes I play tennis.,,,manchmal,,
fast nie,almost never,DE,basics_core_language,common_adverbs,adverb of frequency,KS3,Ich esse fast nie Fleisch.,I almost never eat meat.,,,fast nie,,
nie,never,DE,basics_core_language,common_adverbs,adverb of frequency,KS3,Ich trinke nie Kaffee.,I never drink coffee.,,,nie,,
gut,well,DE,basics_core_language,common_adverbs,adverb of manner,KS3,Ich singe gut.,I sing well.,,,gut,,
schlecht,badly,DE,basics_core_language,common_adverbs,adverb of manner,KS3,Ich tanze schlecht.,I dance badly.,,,schlecht,,
sehr,very,DE,basics_core_language,common_adverbs,adverb of intensity,KS3,Es ist sehr schön.,It's very beautiful.,,,sehr,,
wenig,little / a little,DE,basics_core_language,common_adverbs,adverb of quantity,KS3,Ich spreche wenig Deutsch.,I speak little DE.,,,wenig,,
viel,much / a lot,DE,basics_core_language,common_adverbs,adverb of quantity,KS3,Ich lerne viel.,I study a lot.,,,viel,,
jetzt,now,DE,basics_core_language,common_adverbs,adverb of time,KS3,Ich mache es jetzt.,I'll do it now.,,,jetzt,,
später,later,DE,basics_core_language,common_adverbs,adverb of time,KS3,Bis später.,See you later.,,,später,,
hier,here,DE,basics_core_language,common_adverbs,adverb of place,KS3,Ich bin hier.,I am here.,,,hier,,
dort,there,DE,basics_core_language,common_adverbs,adverb of place,KS3,Leg es dort hin.,Put it there.,,,dort,,
con,with,ES,basics_core_language,general_prepositions,preposition,KS3,Voy con mis amigos.,I go with my friends.,,,con,,
sin,without,ES,basics_core_language,general_prepositions,preposition,KS3,Café sin azúcar.,Coffee without sugar.,,,sin,,
para,for / in order to,ES,basics_core_language,general_prepositions,preposition,KS3,Es para ti. Estudio para aprender.,It's for you. I study to learn.,,,para,,
por,by / for / through / because of,ES,basics_core_language,general_prepositions,preposition,KS3,Paso por el parque. Lo hago por diversión.,I pass through the park. I do it for fun.,,,por,,
de,of / from,ES,basics_core_language,general_prepositions,preposition,KS3,El libro es de María. Soy de España.,The book is Mary's. I am from Spain.,,,de,,
a,to / at,ES,basics_core_language,general_prepositions,preposition,KS3,Voy a la escuela. Estamos a casa.,I go to school. We are at home.,,,a,,
en,in / on / at,ES,basics_core_language,general_prepositions,preposition,KS3,Vivo en Madrid. El libro está en la mesa.,I live in Madrid. The book is on the table.,,,en,,
desde,since / from,ES,basics_core_language,general_prepositions,preposition,KS3,Estudio desde las tres.,I've been studying since three.,,,desde,,
hasta,until / up to,ES,basics_core_language,general_prepositions,preposition,KS3,Trabajo hasta las cinco.,I work until five.,,,hasta,,
sobre,on / about / over,ES,basics_core_language,general_prepositions,preposition,KS3,El libro está sobre la mesa. Hablamos sobre el clima.,The book is on the table. We talk about the weather.,,,sobre,,
sous,under,FR,basics_core_language,general_prepositions,preposition,KS3,Le chat est sous la table.,The cat is under the table.,,,sous,,
avec,with,FR,basics_core_language,general_prepositions,preposition,KS3,Je vais avec mes amis.,I go with my friends.,,,avec,,
sans,without,FR,basics_core_language,general_prepositions,preposition,KS3,Café sans sucre.,Coffee without sugar.,,,sans,,
pour,for,FR,basics_core_language,general_prepositions,preposition,KS3,C'est pour toi.,It's for you.,,,pour,,
de,of / from,FR,basics_core_language,general_prepositions,preposition,KS3,Le livre de Marie. Je viens de Paris.,Mary's book. I come from Paris.,,,de,,
à,to / at / in,FR,basics_core_language,general_prepositions,preposition,KS3,Je vais à l'école. Il est à Paris.,I go to school. He is in Paris.,,,à,,
dans,in / into,FR,basics_core_language,general_prepositions,preposition,KS3,Je vis dans une maison.,I live in a house.,,,dans,,
sur,on / upon,FR,basics_core_language,general_prepositions,preposition,KS3,Le livre est sur la table.,The book is on the table.,,,sur,,
chez,at (person's place) / among,FR,basics_core_language,general_prepositions,preposition,KS3,Je suis chez moi.,I am at my place (home).,,,chez,,
depuis,since / for (duration),FR,basics_core_language,general_prepositions,preposition,KS3,J'étudie depuis trois heures.,I have been studying for three hours.,,,depuis,,
bis,until / up to,FR,basics_core_language,general_prepositions,preposition,KS3,Je travaille jusqu'à cinq heures.,I work until five.,,,jusqu'à,,
mit,with,DE,basics_core_language,general_prepositions,preposition,KS3,Ich gehe mit meinen Freunden.,I go with my friends.,,,mit,,
ohne,without,DE,basics_core_language,general_prepositions,preposition,KS3,Kaffee ohne Zucker.,Coffee without sugar.,,,ohne,,
für,for,DE,basics_core_language,general_prepositions,preposition,KS3,Das ist für dich.,That is for you.,,,für,,
von,of / from / by,DE,basics_core_language,general_prepositions,preposition,KS3,Das Buch von Anna. Ich komme von der Arbeit.,Anna's book. I come from work.,,,von,,
zu,to / at (movement towards),DE,basics_core_language,general_prepositions,preposition,KS3,Ich gehe zur Schule.,I go to school.,,,zu,,
in,in / into,DE,basics_core_language,general_prepositions,preposition,KS3,Ich lebe in Berlin. Er geht ins Haus.,I live in Berlin. He goes into the house.,,,in,,
an,at / on (vertical surface),DE,basics_core_language,general_prepositions,preposition,KS3,Das Bild hängt an der Wand.,The picture hangs on the wall.,,,an,,
auf,on (horizontal surface),DE,basics_core_language,general_prepositions,preposition,KS3,Das Buch liegt auf dem Tisch.,The book is on the table.,,,auf,,
unter,under,DE,basics_core_language,general_prepositions,preposition,KS3,Die Katze ist unter dem Tisch.,The cat is under the table.,,,unter,,
über,over / above / about,DE,basics_core_language,general_prepositions,preposition,KS3,Der Vogel fliegt über das Haus. Wir reden über das Wetter.,The bird flies over the house. We talk about the weather.,,,über,,
seit,since / for (duration),DE,basics_core_language,general_prepositions,preposition,KS3,Ich lerne seit drei Stunden.,I have been learning for three hours.,,,seit,,
bis,until / by,DE,basics_core_language,general_prepositions,preposition,KS3,Ich arbeite bis fünf Uhr.,I work until five o'clock.,,,bis,,
y,and,ES,basics_core_language,conjunctions,conjunction,KS3,Perros y gatos.,Dogs and cats.,,,y,,
o,or,ES,basics_core_language,conjunctions,conjunction,KS3,Té o café.,Tea or coffee.,,,o,,
pero,but,ES,basics_core_language,conjunctions,conjunction,KS3,"Me gusta, pero es caro.","I like it, but it's expensive.",,,pero,,
porque,because,ES,basics_core_language,conjunctions,conjunction,KS3,Estudio porque quiero aprender.,I study because I want to learn.,,,porque,,
si,if,ES,basics_core_language,conjunctions,conjunction,KS3,"Si llueve, no vamos.","If it rains, we don't go.",,,si,,
cuando,when (conjunction),ES,basics_core_language,conjunctions,conjunction,KS3,"Cuando llego, te llamo.","When I arrive, I'll call you.",,,cuando,,
et,and,FR,basics_core_language,conjunctions,conjunction,KS3,Chiens et chats.,Dogs and cats.,,,et,,
ou,or,FR,basics_core_language,conjunctions,conjunction,KS3,Thé ou café.,Tea or coffee.,,,ou,,
mais,but,FR,basics_core_language,conjunctions,conjunction,KS3,"J'aime, mais c'est cher.","I like it, but it's expensive.",,,mais,,
parce que,because,FR,basics_core_language,conjunctions,conjunction,KS3,J'étudie parce que je veux apprendre.,I study because I want to learn.,,,parce que,,
